,i,j,dist
468,14,21,2172.078545176462
469,14,22,846.6709450678763
470,14,23,1137.5705762178234
471,14,24,3167.761739949792
472,14,25,1378.0086027859447
473,14,26,2158.384983351206
474,14,27,2385.0561485035228
475,14,28,2122.2820774251213
476,14,29,2688.546091790781
477,14,30,2851.3003516596723
478,14,31,3201.661646868867
479,14,32,3275.26814233509
480,15,0,2041500.810411155
481,15,1,541926.7299813895
482,15,2,124168.63868595117
483,15,3,8106.551323472151
484,15,4,99523.00735458378
485,15,5,8351.359696161559
486,15,6,12542.707963617853
487,15,7,577.9418750492031
488,15,8,6176.535735110101
489,15,9,16931.064408424478
490,15,10,2037.4851547497778
491,15,11,5606.645188821829
492,15,12,1217.1867825714758
493,15,13,1025.6329788878295
494,15,14,2621.5740086684473
495,15,16,947.4194739671357
496,15,17,1119.5729517058976
497,15,18,1937.8087151331574
498,15,19,3702.5664065000847
499,15,20,4036.755717590193
500,15,21,5177.412789525206
501,15,22,4957.117766818952
502,15,23,4916.6670117679705
503,15,24,8080.22399399765
504,15,25,4471.766868806925
505,15,26,7234.543171135549
506,15,27,7503.7067603812775
507,15,28,6755.710496149102
508,15,29,7606.0334781795555
509,15,30,7894.552730201705
510,15,31,8279.712955020981
511,15,32,8937.350779017424
512,16,0,2083230.088138305
513,16,1,582881.3922022114
514,16,2,137009.18019324297
515,16,3,14234.840536071595
516,16,4,113982.63421012879
517,16,5,11058.394628420658
518,16,6,16204.033213442632
519,16,7,836.466617928488
520,16,8,10252.02074766874
521,16,9,23754.442047913028
522,16,10,4516.814988712796
523,16,11,2111.900927610921
524,16,12,2367.38465491223
525,16,13,1510.2738202317787
526,16,14,803.5424164896021
527,16,15,947.4194739671357
528,16,17,1153.735687295832
529,16,18,1013.0097448338006
530,16,19,1058.9580342798558
531,16,20,1737.5088470513645
532,16,21,2071.2633577685046
533,16,22,1668.2723518785492
534,16,23,1731.349614621423
535,16,24,3788.3394392649116
536,16,25,1501.6199577481038
537,16,26,3244.108567499691
538,16,27,3423.855394915452
539,16,28,2887.750576224321
540,16,29,3498.237648694434
541,16,30,3675.90487191225
542,16,31,3930.7165460508095
543,16,32,4378.436501976623
544,17,0,2113840.8362388313
545,17,1,557835.5961318361
546,17,2,116758.07976138737
547,17,3,13556.25946814406
548,17,4,94504.8096095962
549,17,5,6140.662834272449
550,17,6,10127.303792862976
551,17,7,1484.5703063400622
552,17,8,6337.5516826119965
553,17,9,17252.29918937911
554,17,10,1715.7099218509265
555,17,11,5302.368524610109
556,17,12,4293.183771311824
557,17,13,3103.7130496092454
558,17,14,1181.2394604934666
559,17,15,1119.5729517058976
560,17,16,1153.735687295832
561,17,18,2080.20257353349
