item,0,1,t
14,-55234.84966267919,3645.2527125158213,1
15,-55225.89752297759,3655.5118908980476,1
16,-55229.6039854123,3644.1610556964133,1
17,-55228.23418375511,3671.5217279167014,1
18,-55231.56429385993,3628.3583427464505,1
19,-55226.11502077614,3621.8750619999228,1
20,-55229.58468376976,3633.2815912843203,1
21,-55225.67892441789,3606.8860928731438,1
22,-55231.075792221985,3628.9593819777433,1
23,-55229.43950438387,3618.1364167857128,1
24,-55227.01258187997,3602.074683678695,1
25,-55230.86860929011,3614.5551843408616,1
26,-55230.894317795355,3609.6087850588005,1
27,-55229.35003858217,3608.076065584821,1
28,-55231.726488775945,3609.0512621727257,1
29,-55229.39950788913,3604.1938743892165,1
30,-55229.79232919511,3604.0227436756354,1
31,-55227.01617104155,3602.0746338036683,1
32,-55229.48017513323,3602.5769515739717,1
0,-54690.02325097005,3568.8625765913575,2
1,-55179.1095369697,3823.3404328132583,2
2,-55212.055475942194,3922.822881163467,2
3,-55187.52486386205,3676.073745842149,2
4,-55189.9061342575,3953.6420209651887,2
5,-55219.0178163145,3727.996161172475,2
6,-55206.69738393164,3746.7148691670077,2
7,-55223.192933010665,3649.6316573186264,2
8,-55227.67439429845,3700.735495065286,2
9,-55191.75973452813,3785.2547935891102,2
10,-55225.90335497165,3700.1063209640583,2
11,-55228.06625909235,3611.1108568219543,2
12,-55192.32100581411,3637.692967379666,2
13,-55207.51152096432,3641.445446570351,2
14,-55233.894985557155,3640.40484357695,2
15,-55221.30903913156,3648.737017184186,2
16,-55211.53254780425,3636.1213314374168,2
17,-55226.14925922537,3677.5880510276033,2
18,-55228.91988389628,3624.825393303257,2
19,-55223.49617066638,3618.568054486286,2
20,-55229.552360028225,3632.006484030274,2
21,-55221.53691200974,3608.3816882437995,2
22,-55231.695516205444,3622.894865933278,2
23,-55229.487870896824,3616.9150057471984,2
24,-55227.01258187997,3602.074683678695,2
25,-55230.20185444844,3613.241841951612,2
26,-55228.888468724035,3608.6240130972533,2
27,-55230.27121262129,3607.6444067389566,2
28,-55230.96024771354,3608.507446962875,2
29,-55228.72072096889,3604.752920719387,2
30,-55230.003452814475,3603.745372517001,2
31,-55227.01617104155,3602.0746338036683,2
32,-55229.55547809747,3602.4181299138295,2
0,-54478.27538102568,3553.6446441814514,3
1,-55142.11973144114,3977.768547496858,3
2,-55195.961592461594,3820.4472737640926,3
3,-55166.61760421788,3704.765557182833,3
4,-55173.089246245116,3933.2404696331796,3
5,-55197.91192241766,3689.9455862784707,3
6,-55208.159392099806,3716.7657176021044,3
7,-55210.5405104961,3642.058620732684,3
8,-55217.19019510157,3728.7631151496694,3
9,-55163.28442695109,3770.7204910277333,3
10,-55215.27389246528,3694.0545064798116,3
11,-55223.59354243717,3607.338081475301,3
12,-55186.1991024292,3657.267865398125,3
13,-55193.75075750109,3655.038889295631,3
14,-55227.15924743841,3635.7190026062344,3
15,-55213.764039785056,3635.505372996765,3
16,-55210.550617875575,3630.244574282465,3
17,-55215.77743758518,3681.8381980626036,3
18,-55223.610891405355,3617.746070362985,3
19,-55212.704694940265,3612.476249895558,3
20,-55228.45683225883,3636.4668624729716,3
21,-55219.205906023635,3614.911052281244,3
22,-55226.43469297146,3617.7619050363683,3
23,-55227.947248286975,3613.941562554194,3
24,-55224.03613201454,3601.8726329904202,3
25,-55218.495343783536,3610.8608836774233,3
26,-55228.453010065365,3607.0467236032528,3
27,-55230.13295512673,3606.055960177528,3
28,-55225.42821862401,3606.711955820242,3
29,-55228.20193796025,3604.582712031809,3
30,-55229.38919427797,3603.7205614356817,3
31,-55227.01617104155,3602.0746338036683,3
32,-55229.65095362535,3602.272732307571,3
0,-54181.56941542167,3532.285796600049,4
1,-55084.90125320844,4309.4285960562775,4
2,-55151.86765063584,3698.907058728232,4
3,-55121.851439379316,3733.932722666939,4
4,-55155.123916808276,3819.488976403908,4
5,-55177.495195509524,3658.0965469693956,4
6,-55192.383444358224,3670.974177553151,4
7,-55193.283174775446,3638.7053947107943,4
8,-55201.37383945667,3741.756549503101,4
9,-55151.87462194372,3678.1084316555452,4
10,-55199.77942320037,3675.888305337244,4
11,-55218.43539407342,3606.2092590539132,4
